matrix,vol_mfg,vol_mmg,vol_mfgir,vol_pfg,vol_pmg,vol_pfgir,time_mfg,time_mmg,time_mfgir,time_pfg,time_pmg,time_pfgir
mbeause,455,358,322,400,344,315,0.326655,0.067509,0.341887,0.158583,0.051966,0.180401
n3c6-b10,303,242,245,250,252,245,0.023051,0.01831,0.028442,0.009483,0.00999,0.011858
n4c6-b3,962,961,962,803,913,793,0.06251,0.0451,0.058242,0.024863,0.022076,0.029651
n4c6-b2,184,114,180,139,156,139,0.010553,0.01071,0.012145,0.003936,0.003207,0.00444
n4c6-b1,19,19,19,16,16,16,0.001214,0.001054,0.001243,0.001005,0.000961,0.001025
lp_czprob,137,30,32,23,22,23,0.034564,0.028594,0.03992,0.024893,0.015928,0.026723
fe_sphere,432,384,386,460,386,443,0.178218,0.151372,0.204706,0.065785,0.07257,0.092707
lp_modszk1,59,45,59,38,37,38,0.005927,0.006043,0.006687,0.00316,0.00346,0.003965
cegb3306,155,144,132,162,132,156,0.136057,0.060698,0.146268,0.069532,0.030141,0.075217
curtis54,7,7,7,7,8,7,0.002586,0.001562,0.002133,0.001671,0.001489,0.001807
p2p-Gnutella25,3758,3377,3581,3475,3388,3417,0.184211,0.20474,0.246021,0.07209,0.085232,0.104947
powersim,21,13,21,8,13,8,0.084857,0.058728,0.092663,0.045092,0.03741,0.053532
rdb2048,128,128,128,128,128,128,0.024592,0.017146,0.025452,0.010411,0.007831,0.011516
ex10hs,58,28,28,47,28,28,0.128597,0.061051,0.137311,0.057897,0.034958,0.066526
mimo8x8_system,36,44,36,40,40,40,0.067986,0.0483,0.073858,0.0364,0.02983,0.041239
M10PI_n,6,4,6,6,4,6,0.004118,0.004079,0.004364,0.001828,0.001885,0.002268
n3c5-b2,34,25,34,27,30,27,0.002504,0.001734,0.002491,0.001093,0.000902,0.001107
lp_fit2p,27,25,25,24,24,24,0.97663,0.157291,0.981079,0.070267,0.040155,0.077817
plddb,8,8,8,8,8,8,0.014366,0.012718,0.016127,0.008086,0.007259,0.010487
qc324,162,162,162,162,162,162,0.05003,0.017541,0.05271,0.044117,0.014088,0.047656
can_838,73,80,68,74,70,70,0.030125,0.020755,0.032509,0.011918,0.010623,0.014275
rajat07,150,142,150,140,140,140,0.104451,0.05506,0.111662,0.044863,0.029227,0.042748
rajat06,124,120,120,120,120,120,0.072252,0.046995,0.078981,0.030027,0.025528,0.035659
rajat05,6,6,6,6,6,6,0.006535,0.004721,0.006733,0.002095,0.002146,0.002347
rajat04,34,30,34,34,36,34,0.040548,0.028723,0.041615,0.022769,0.016881,0.024311
rajat03,112,102,112,100,100,100,0.055246,0.034133,0.058964,0.021904,0.017796,0.025305
rajat02,30,25,30,22,22,22,0.033775,0.026497,0.034837,0.021835,0.015151,0.022885
